Time,Error
0,815.8272851
100,815.8287419
200,338.4870819
300,101.1905797
400,130.6862875
500,182.6565117
600,158.5676849
700,142.3740846
800,156.3451511
900,128.5252093
1000,121.7342705
1100,69.21477306
1200,78.26418846
1300,23.66067882
1400,0.4143450608
1500,0.3312866172
1600,0.3920127849
1700,0.4599610827
1800,0.3455057867
1900,0.4113337083
2000,0.4495479756
2100,0.4343554241
2200,0.4095344869
2300,0.3621443254
2400,0.4240063578
2500,0.3929076325
2600,0.4102498819
2700,0.4032424941
2800,0.3991673454
2900,0.4617427978
3000,0.5339526918
3100,0.5085369607
3200,0.4530007585
3300,0.3973502005
3400,0.3747019191
3500,0.3248501738
3600,0.3219762436
3700,0.2385046059
3800,0.3088865911
3900,0.3822326865
4000,0.4026385866
4100,0.4398262554
4200,0.4424808216
4300,0.4092754667
4400,0.3394173234
4500,0.3600964368
4600,0.363237374
4700,0.4409502097
4800,0.3461605559
4900,0.3582558769
5000,0.396909759
5100,0.4446520195
5200,0.4277902703
5300,0.4290561396
5400,0.4923416941
5500,0.537056383
5600,0.4899327924
5700,0.4844610156
5800,0.5077748828
5900,0.5961625808
6000,0.3702361209
6100,0.3234452064
6200,0.3358588709
6300,0.3809225421
6400,0.3370574929
6500,0.3221363041
6600,0.3462393201
6700,0.3577396228
6800,0.3399813224
6900,0.3911998389
7000,0.3746203275
7100,0.423512024
7200,0.3693530798
7300,0.3530531136
7400,0.390051257
7500,0.4355866544
7600,0.4223967396
7700,0.3557451463
7800,0.3824041503
7900,0.3136455423
8000,0.2915655045
8100,0.288256251
8200,0.2840544276
8300,0.3227188967
8400,0.3451588005
8500,0.3112053127
8600,0.3819537743
8700,0.4061463096
8800,0.3641811972
8900,0.3770248779
9000,0.4051543233
9100,0.4750260481
9200,0.3307232622
9300,0.3019719879
9400,0.5684312557
9500,0.4552563496
9600,0.4228095454
9700,0.5175775579
9800,0.5493512818
9900,0.5395582517
