Time,Error
0,688.3707813
100,688.3713144
200,395.5102013
300,20.8496819
400,118.3817684
500,180.0835225
600,194.9641534
700,173.7544999
800,130.8279032
900,63.63744435
1000,25.03509238
1100,73.03107085
1200,21.35383657
1300,13.45668063
1400,13.15375008
1500,3.341968007
1600,3.699690257
1700,3.952286267
1800,4.261752418
1900,3.991393066
2000,4.166265193
2100,3.778558778
2200,3.058747402
2300,3.189680123
2400,3.316342049
2500,3.123018187
2600,3.272760703
2700,3.205663651
2800,3.46456471
2900,3.16613185
3000,3.40559881
3100,3.534903045
3200,3.59092073
3300,3.440052265
3400,3.075448224
3500,4.067358893
3600,3.431655787
3700,2.517763315
3800,2.916537298
3900,2.885025222
4000,3.205787236
4100,3.282000056
4200,2.988550211
4300,3.288758101
4400,2.831158609
4500,3.663486656
4600,3.501567308
4700,4.055944861
4800,3.868202486
4900,3.925983704
5000,2.923358902
5100,3.052774355
5200,3.342052879
5300,3.197336507
5400,3.485811121
5500,3.231963707
5600,3.633725082
5700,3.352030464
5800,3.448041452
5900,3.31052568
6000,3.221146246
6100,3.089027965
6200,2.910297528
6300,2.904766499
6400,3.082284696
6500,2.884086854
6600,2.837857499
6700,2.967622746
6800,3.360452929
6900,3.349008204
7000,2.978610537
7100,2.792368159
7200,2.898537828
7300,3.176717754
7400,2.710273437
7500,2.894646984
7600,2.511824891
7700,3.264529551
7800,3.169281083
7900,2.541815903
8000,2.364718544
8100,2.61057465
8200,2.733720107
8300,2.844293714
8400,2.682896419
8500,2.27497357
8600,2.38807912
8700,2.860540941
8800,2.680978973
8900,2.908778686
9000,2.905839958
9100,3.054797941
9200,2.47975438
9300,1.865322313
9400,1.578152267
9500,1.276625089
9600,1.385536982
9700,1.413083842
9800,1.560796084
9900,1.548898515
