Time,Error
0,784.3790534
100,784.3789506
200,318.0019663
300,125.4177244
400,94.93895946
500,82.93860565
600,74.46262433
700,67.44234926
800,61.44860078
900,56.29034436
1000,51.82971042
1100,47.95510629
1200,44.5743344
1300,41.61094938
1400,39.00142546
1500,36.69285979
1600,34.6410974
1700,32.80919787
1800,31.16618014
1900,29.68599401
2000,28.34667659
2100,27.12965954
2200,26.01919956
2300,25.00190948
2400,24.06637165
2500,23.20281873
2600,22.40286967
2700,21.65931088
2800,20.96591462
2900,20.31728793
3000,19.70874666
3100,19.13621023
3200,18.59611352
3300,18.0853329
3400,17.60112393
3500,17.14106886
3600,16.70303212
3700,16.28512265
3800,15.88566178
3900,15.50315584
4000,15.13627274
4100,14.78382186
4200,14.44473672
4300,14.1180601
4400,13.80293107
4500,13.49857379
4600,13.20428776
4700,12.91943931
4800,12.64345699
4900,12.37581676
5000,12.11604361
5100,11.86370552
5200,11.61840808
5300,11.37979064
5400,11.14752275
5500,10.92130521
5600,10.7008693
5700,10.48594192
5800,10.27630099
5900,10.07171243
6000,9.871981115
6100,9.676921523
6200,9.486353184
6300,9.300117048
6400,9.118043713
6500,8.939992677
6600,8.765833909
6700,8.595442138
6800,8.428700189
6900,8.265497803
7000,8.105730586
7100,7.949300154
7200,7.796113224
7300,7.646081203
7400,7.499119817
7500,7.355148769
7600,7.214091438
7700,7.075874599
7800,6.940428165
7900,6.807684964
8000,6.677580523
8100,6.550052881
8200,6.425042418
8300,6.302491691
8400,6.182345296
8500,6.064549731
8600,5.949053283
8700,5.835805916
8800,5.724759167
8900,5.615866063
9000,5.509081029
9100,5.404359819
9200,5.301659439
9300,5.200942504
9400,5.102171516
9500,5.005367956
9600,4.910642171
9700,4.81790322
9800,4.726904814
9900,4.637615661
