Time,Error
0,876.3131085
100,876.3135978
200,802.7791732
300,571.0574164
400,450.8019354
500,372.1768187
600,373.0281876
700,322.3979697
800,329.8027535
900,288.08612
1000,296.5116795
1100,227.3163762
1200,102.7591435
1300,77.08431151
1400,59.28610407
1500,46.15638685
1600,36.36555456
1700,29.03360248
1800,23.52031454
1900,19.35395371
2000,16.18635879
2100,13.76044219
2200,11.88627911
2300,10.42348472
2400,9.268222736
2500,8.343627202
2600,7.59274023
2700,6.973304204
2800,6.453920978
2900,6.011218809
3000,5.627762198
3100,5.290509464
3200,4.991459472
3300,4.722747961
3400,4.477427747
3500,4.251010468
3600,4.040280922
3700,3.842923269
3800,3.656971457
3900,3.492022055
4000,3.336401436
4100,3.185256864
4200,3.038723991
4300,2.896686245
4400,2.75906228
4500,2.62583258
4600,2.496793025
4700,2.371801432
4800,2.250715392
4900,2.133391777
5000,2.019673283
5100,1.90939739
5200,1.802426587
5300,1.698629414
5400,1.597880409
5500,1.50006026
5600,1.405055774
5700,1.312759726
5800,1.223089489
5900,1.135940977
6000,1.051209366
6100,0.9688089644
6200,0.8886585837
6300,0.810681242
6400,0.7348038793
6500,0.6609588908
6600,0.5890833418
6700,0.5191088112
6800,0.4509754792
6900,0.3846262618
7000,0.3200066251
7100,0.2570644142
7200,0.1957496955
7300,0.1572734064
7400,0.1728384278
7500,0.2281286852
7600,0.2821119443
7700,0.3348151578
7800,0.3862651253
7900,0.4364884475
8000,0.4855114855
8100,0.5333603266
8200,0.5800607542
8300,0.6256382218
8400,0.6701178317
8500,0.7135243163
8600,0.7558820231
8700,0.7972149019
8800,0.8375464951
8900,0.8768999298
9000,0.9152979117
9100,0.9527627212
9200,0.9039241428
9300,1.022714753
9400,0.3658591138
9500,0.883588122
9600,0.302737929
9700,0.7804532339
9800,0.2671896585
9900,0.6950902921
