MMTS (100 broadcast interval)
Tick,Average error
0,911.7302676606821
1,911.7302751476195
2,911.7302826345574
3,911.7302901214949
4,911.7302976084329
5,911.7303050953709
6,911.7303125823082
7,911.730320069246
8,911.7303275561835
9,911.7303350431213
10,911.730342530059
11,911.7303500169968
12,911.7303575039347
13,911.7303649908721
14,911.7303724778102
15,911.7303799647477
16,911.7303874516855
17,911.7303949386229
18,911.7304024255609
19,911.7304099124984
20,911.7304173994364
21,911.730424886374
22,911.7304323733116
23,911.7304398602496
24,911.7304473471871
25,911.7304548341249
26,911.7304623210626
27,911.7304698080002
28,911.730477294938
29,911.7304847818756
30,911.7304922688132
31,911.7304997557511
32,911.7305072426892
33,911.7305147296264
34,911.7305222165642
35,911.7305297035022
36,911.7305371904399
37,911.7305446773775
38,911.7305521643153
39,911.7305596512529
40,911.7305671381906
41,911.7305746251284
42,911.7305821120661
43,911.7305895990036
44,911.7305970859417
45,911.730604572879
46,911.7306120598172
47,911.7306195467546
48,911.7306270336926
49,911.7306345206302
50,911.7306420075678
51,911.7306494945057
52,911.7306569814433
53,911.730664468381
54,911.7306719553184
55,911.7306794422564
56,911.7306869291942
57,911.730694416132
58,911.7307019030698
59,911.7307093900073
60,911.7307168769453
61,911.7307243638826
62,911.7307318508203
63,911.730739337758
64,911.7307468246961
65,911.7307543116335
66,911.7307617985715
67,911.730769285509
68,911.7307767724468
69,911.7307842593846
70,911.7307917463222
71,911.7307992332599
72,911.7308067201977
73,911.7308142071356
74,911.7308216940731
75,911.7308291810109
76,911.7308366679484
77,911.730844154886
78,911.730851641824
79,911.7308591287615
80,911.7308666156996
81,911.7308741026371
82,911.7308815895747
83,911.7308890765127
84,911.7308965634504
85,911.7309040503877
86,911.7309115373257
87,911.7309190242635
88,911.7309265112011
89,911.7309339981387
90,911.7309414850765
91,911.7309489720142
92,911.7309564589518
93,911.7309639458897
94,911.7309714328273
95,911.730978919765
96,911.7309864067028
97,911.7309938936405
98,911.7310013805784
99,911.7310088675159
100,911.7310163544539
101,911.7310238413913
102,911.7310313283294
103,911.7310388152669
104,911.7310463022046
105,915.1625872582648
106,837.249124175895
107,837.2491459073722
108,837.2491676388495
109,837.2491893703267
110,837.2492111018038
111,837.2492328332806
112,837.2492545647577
113,837.2492762962347
114,837.2492980277118
115,837.2493197591888
116,837.2493414906659
117,837.2493632221427
118,837.2493849536202
119,837.2494066850975
120,837.2494284165746
121,837.2494501480516
122,837.2494718795285
123,837.2494936110056
124,837.2495153424826
125,837.2495370739595
126,837.2495588054367
127,837.2495805369134
128,837.2496022683912
129,837.2496239998679
130,837.2496457313449
131,837.249667462822
132,837.2496891942991
133,837.2497109257761
134,837.249732657253
135,837.24975438873
136,837.2497761202072
137,837.249797851684
138,837.2498195831619
139,837.2498413146387
140,837.2498630461158
141,837.2498847775929
142,837.2499065090699
143,837.2499282405469
144,837.2499499720238
145,837.2499717035009
146,837.2499934349781
147,837.2500151664552
148,837.2500368979325
149,837.2500586294096
150,837.2500803608866
151,837.2501020923637
152,837.2501238238407
153,837.2501455553178
154,837.2501672867949
155,837.250189018272
156,837.2502107497488
157,837.250232481226
