Time,Error
0,798.0131204
100,61.48805536
200,165.3133134
300,81.65484387
400,49.07886106
500,2.339418527
600,3.149126781
700,3.998226945
800,2.331016389
900,0.6031769296
1000,0.2814313992
1100,2.67806185
1200,1.31362636
1300,1.344678718
1400,1.547717019
1500,2.901452139
1600,2.042803252
1700,1.434444181
1800,0.5689716511
1900,2.628223056
2000,0.864958095
2100,0.5971030056
2200,0.6680417655
2300,0.9102615287
2400,1.160732312
2500,1.104082202
2600,0.5461709124
2700,0.4132449894
2800,1.937763076
2900,1.039677979
3000,0.9438025243
3100,0.600578964
3200,2.6808028
3300,2.045006799
3400,1.971948002
3500,1.934618841
3600,2.552075253
3700,1.92197421
3800,1.572265846
3900,1.406692965
4000,3.366608717
4100,2.215752643
4200,1.993485174
4300,2.15346044
4400,2.325910829
4500,1.630755388
4600,1.286058697
4700,1.205211155
4800,1.245494299
4900,0.9090903335
5000,0.5169614869
5100,0.6374327173
5200,0.600882116
5300,1.151265411
5400,0.3807388013
5500,0.4427968949
5600,0.4633495037
5700,2.425583295
5800,0.365855989
5900,0.3452080796
6000,0.0771073888
6100,2.731260794
6200,0.611501647
6300,0.6346628357
6400,0.6991190491
6500,0.4274069005
6600,0.7021371161
6700,0.743571063
6800,0.5951817255
6900,0.5448300161
7000,1.417482279
7100,0.7086819708
7200,0.4215629136
7300,0.2433944117
7400,1.271048562
7500,0.4590863452
7600,0.5655460665
7700,0.1656399138
7800,2.258926271
7900,0.2967770347
8000,1.325828456
8100,1.193930908
8200,2.703478895
8300,0.5326792113
8400,0.5847624984
8500,0.6233347739
8600,0.6235122486
8700,0.8443373639
8800,0.7357335661
8900,0.6574843994
9000,0.7210647022
9100,1.07949981
9200,0.6293256356
9300,0.621983663
9400,0.5730903559
9500,1.518324022
9600,0.7942417129
9700,0.9366494462
9800,1.112133012
9900,2.83194217
