Time,Error
0,832.4262079
100,832.4257344
200,786.1027976
300,781.560746
400,653.1519974
500,657.3660937
600,572.6488905
700,568.2643943
800,506.853716
900,501.6013958
1000,459.0303731
1100,452.6682254
1200,422.8974393
1300,410.7529957
1400,395.6577202
1500,378.3079074
1600,370.5736605
1700,354.7483162
1800,347.0413586
1900,332.9433565
2000,327.898974
2100,314.1947858
2200,310.6724597
2300,299.0163414
2400,294.315866
2500,284.8806414
2600,279.901131
2700,271.6423984
2800,266.9909496
2900,260.3083614
3000,255.4197069
3100,250.2317309
3200,244.7884887
3300,240.5467295
3400,235.0471434
3500,231.6498551
3600,225.7985698
3700,223.4782293
3800,217.3793834
3900,215.5321993
4000,209.5490242
4100,207.9085951
4200,202.0364716
4300,200.668453
4400,194.8361144
4500,193.6884307
4600,188.0014359
4700,186.9813491
4800,181.4577467
4900,180.5864932
5000,175.1707834
5100,108.8191449
5200,68.72320283
5300,35.52503652
5400,29.69067588
5500,20.51798661
5600,21.50005144
5700,18.72327782
5800,18.77607483
5900,16.69666276
6000,16.68000622
6100,14.97761611
6200,14.97023663
6300,13.60867134
6400,13.51020001
6500,12.37320544
6600,12.26076764
6700,11.29564163
6800,11.16832428
6900,10.37786014
7000,10.21449747
7100,9.565913167
7200,9.391694991
7300,8.848486989
7400,8.675959203
7500,8.228048829
7600,8.044605233
7700,7.681934127
7800,7.496256441
7900,7.195804289
8000,7.018565044
8100,6.768040118
8200,6.604608365
8300,6.39374538
8400,6.245037105
8500,6.06391832
8600,5.926782787
8700,5.768870505
8800,5.641466744
8900,5.504283134
9000,5.385100135
9100,5.264422421
9200,5.156822937
9300,5.04612705
9400,4.952681062
9500,4.851906563
9600,4.768905097
9700,4.676783582
9800,4.599786135
9900,4.518197399
