MMTS (100 broadcast interval)
Tick,Average error
0,966.7868957933003
1,966.7868936221436
2,966.7868914509864
3,966.7868892798294
4,966.7868871086727
5,966.786884937516
6,966.7868827663586
7,966.786880595202
8,966.786878424045
9,966.7868762528881
10,966.7868740817312
11,966.786871910574
12,966.786869739417
13,966.78686756826
14,966.7868653971033
15,966.7868632259463
16,966.7868610547898
17,966.7868588836325
18,966.7868567124757
19,966.7868545413186
20,966.7868523701618
21,966.7868501990046
22,966.7868480278478
23,966.7868458566909
24,966.7868436855341
25,966.7868415143771
26,966.7868393432202
27,966.786837172063
28,966.7868350009062
29,966.7868328297492
30,966.7868306585922
31,966.7868284874354
32,966.7868263162785
33,966.7868241451215
34,966.7868219739647
35,966.7868198028078
36,966.7868176316508
37,966.7868154604937
38,966.7868132893367
39,966.7868111181799
40,966.7868089470229
41,966.786806775866
42,966.7868046047093
43,966.7868024335519
44,966.7868002623952
45,966.7867980912382
46,966.7867959200812
47,966.7867937489242
48,966.7867915777674
49,966.7867894066106
50,966.7867872354535
51,966.7867850642964
52,966.7867828931397
53,966.786780721983
54,966.7867785508257
55,966.786776379669
56,966.786774208512
57,966.7867720373551
58,966.7867698661981
59,966.7867676950412
60,966.7867655238841
61,966.786763352727
62,966.7867611815705
63,966.7867590104133
64,966.7867568392564
65,966.7867546680995
66,966.7867524969425
67,966.7867503257855
68,966.7867481546286
69,966.7867459834716
70,966.7867438123146
71,966.7867416411578
72,966.7867394700011
73,966.7867372988441
74,966.7867351276869
75,966.7867329565302
76,966.7867307853734
77,966.7867286142163
78,966.7867264430593
79,966.7867242719025
80,966.7867221007456
81,966.7867199295886
82,966.7867177584317
83,966.7867155872746
84,966.7867134161177
85,966.7867112449608
86,966.7867090738036
87,966.7867069026469
88,966.7867047314899
89,966.7867025603332
90,966.7867003891763
91,966.7866982180192
92,966.7866960468622
93,966.7866938757055
94,966.7866917045483
95,966.7866895333916
96,966.7866873622347
97,966.7866851910777
98,966.7866830199205
99,966.7866808487637
100,966.7866786776067
101,966.7866765064497
102,966.786674335293
103,966.786672164136
104,966.786669992979
105,669.2857470617929
106,455.4612233328546
107,455.4612189017517
108,455.46121447064894
109,455.46121003954596
110,455.461205608443
111,455.46120117734034
112,455.4611967462375
113,455.4611923151344
114,455.46118788403174
115,455.46118345292865
116,455.46117902182596
117,455.461174590723
118,455.4611701596201
119,455.46116572851736
120,455.4611612974144
121,455.46115686631174
122,455.46115243520865
123,455.461148004106
124,455.46114357300314
125,455.4611391419001
126,455.4611347107972
127,455.4611302796943
128,455.4611258485916
129,455.4611214174886
130,455.4611169863859
131,455.4611125552829
132,455.46110812417993
133,455.4611036930772
134,455.46109926197425
135,455.4610948308716
136,455.4610903997684
137,455.4610859686657
138,455.4610815375629
139,455.4610771064599
140,455.46107267535706
141,455.46106824425425
142,455.46106381315144
143,455.46105938204846
144,455.4610549509457
145,455.4610505198429
146,455.46104608874
147,455.46104165763705
148,455.46103722653424
149,455.4610327954314
150,455.4610283643285
151,455.46102393322565
152,455.4610195021228
153,455.46101507101986
154,455.46101063991694
155,455.46100620881407
156,455.4610017777112
157,455.4609973466084
158,455.46099291550547
159,455.4609884844027
160,455.4609840532997
161,455.460979622197
162,455.46097519109395
163,455.4609707599913
164,455.46096632888833
165,455.4609618977855
166,455.46095746668254
167,455.46095303557973
168,455.46094860447704
169,455.46094417337406
170,455.4609397422711
171,455.4609353111684
172,455.4609308800656
173,455.46092644896265
174,455.4609220178596
175,455.46091758675686
176,455.46091315565405
177,455.46090872455125
178,455.46090429344827
179,455.4608998623452
180,455.46089543124236
181,455.4608910001396
182,455.4608865690368
183,455.4608821379339
184,455.46087770683096
185,455.46087327572815
186,455.46086884462517
187,455.4608644135224
188,455.46085998241966
189,455.4608555513167
190,455.4608511202139
191,455.460846689111
192,455.4608422580082
193,455.4608378269053
194,455.46083339580235
195,455.4608289646996
196,455.4608245335966
197,455.46082010249387
198,455.4608156713909
199,455.4608112402881
200,455.4608068091852
201,455.4608023780823
202,455.4607979469796
203,455.4607935158765
204,455.46078908477364
205,21.511957602616295
206,21.511961107800758
207,143.7875018247396
208,143.7875018247396
209,143.7875018247396
210,143.7875018247396
211,143.7875018247395
212,143.7875018247395
213,143.7875018247395
214,143.7875018247395
215,143.78750182473954
216,143.78750182473942
217,143.78750182473954
218,143.7875018247395
219,143.78750182473956
220,143.78750182473968
221,143.7875018247395
222,143.78750182473948
223,143.78750182473965
224,143.7875018247396
225,143.7875018247396
226,143.7875018247396
227,143.78750182473962
228,143.7875018247397
229,143.7875018247396
230,143.7875018247396
231,143.78750182473968
232,143.78750182473962
233,143.78750182473962
234,143.78750182473962
235,143.78750182473976
236,143.78750182473962
237,143.78750182473982
238,143.78750182473976
239,143.78750182473988
240,143.78750182473976
241,143.78750182473982
242,143.78750182473973
243,143.78750182473976
244,143.78750182473968
245,143.7875018247398
246,143.78750182473988
247,143.7875018247397
248,143.7875018247397
249,143.78750182473968
250,143.78750182473993
251,143.7875018247397
252,143.78750182473968
253,143.78750182473962
254,143.78750182473988
255,143.7875018247396
256,143.78750182473982
257,143.7875018247396
258,143.78750182473962
259,143.7875018247395
260,143.78750182473968
261,143.78750182473976
262,143.78750182473968
263,143.78750182473976
264,143.78750182473982
265,143.78750182473968
266,143.7875018247397
267,143.78750182473976
268,143.7875018247397
269,143.78750182474
270,143.78750182473965
271,143.7875018247399
272,143.78750182473993
273,143.78750182473993
274,143.7875018247396
275,143.78750182473988
276,143.78750182473988
277,143.78750182473982
278,143.78750182473993
279,143.78750182473982
280,143.78750182473985
281,143.78750182473993
282,143.78750182473988
283,143.78750182473988
284,143.78750182473993
285,143.78750182473985
286,143.78750182473982
287,143.7875018247398
288,143.78750182473982
289,143.78750182474
290,143.78750182474002
291,143.78750182473996
292,143.78750182473996
293,143.78750182473996
294,143.78750182473993
295,143.78750182474002
296,143.78750182473996
297,143.78750182474
298,143.78750182473993
299,143.78750182473993
300,143.78750182473993
301,143.78750182473988
302,143.78750182474002
303,143.78750182474002
304,143.78750182474002
305,357.27061282633565
306,357.27061282633576
307,357.27061282633565
308,263.3506594861081
309,263.3506594861081
310,263.3506594861081
311,263.35065948610804
312,263.350659486108
313,263.350659486108
314,263.35065948610804
315,263.35065948610804
316,263.35065948610804
317,263.350659486108
318,263.350659486108
319,263.35065948610804
320,263.3506594861081
321,263.35065948610793
322,263.3506594861081
323,263.3506594861078
324,263.350659486108
325,263.350659486108
326,263.35065948610793
327,263.35065948610793
328,263.3506594861079
329,263.3506594861079
330,263.3506594861078
331,263.350659486108
332,263.3506594861079
333,263.350659486108
334,263.35065948610804
335,263.350659486108
336,263.350659486108
337,263.35065948610804
338,263.35065948610793
339,263.3506594861079
340,263.35065948610793
341,263.3506594861079
342,263.3506594861079
343,263.3506594861079
344,263.3506594861078
345,263.3506594861079
346,263.3506594861079
347,263.3506594861079
348,263.3506594861079
349,263.3506594861079
350,263.3506594861079
351,263.3506594861079
352,263.3506594861078
353,263.3506594861078
354,263.3506594861078
355,263.35065948610776
356,263.35065948610776
357,263.3506594861078
358,263.3506594861078
359,263.3506594861078
360,263.35065948610776
361,263.3506594861077
362,263.35065948610776
363,263.3506594861079
364,263.3506594861077
365,263.3506594861078
366,263.3506594861078
367,263.3506594861078
368,263.3506594861078
369,263.3506594861079
370,263.3506594861078
371,263.3506594861078
372,263.3506594861077
373,263.3506594861078
374,263.3506594861078
375,263.3506594861078
376,263.3506594861078
377,263.350659486108
378,263.3506594861078
379,263.35065948610793
380,263.35065948610776
381,263.3506594861081
382,263.35065948610793
383,263.350659486108
384,263.35065948610793
385,263.350659486108
386,263.35065948610793
387,263.35065948610793
388,263.35065948610793
389,263.35065948610793
390,263.35065948610793
391,263.35065948610793
392,263.35065948610793
393,263.3506594861081
394,263.3506594861078
395,263.3506594861081
396,263.350659486108
397,263.35065948610804
398,263.35065948610804
399,263.350659486108
400,263.35065948610804
401,263.350659486108
402,263.350659486108
403,263.3506594861081
404,263.350659486108
405,75.2399484164442
406,75.23994841644448
407,75.23994841644429
408,75.23994841644453
409,313.18512069099023
410,313.1851206909903
411,313.18512069099023
412,313.1851206909902
413,313.1851206909903
414,313.18512069099023
415,313.1851206909902
416,313.18512069099023
417,313.18512069099023
418,313.18512069099035
419,313.18512069099023
420,313.1851206909903
421,313.18512069099023
422,313.1851206909903
423,313.1851206909902
424,313.18512069099023
425,313.18512069099023
426,313.1851206909902
427,313.1851206909902
428,313.18512069099023
429,313.1851206909902
430,313.18512069099023
431,313.1851206909902
432,313.1851206909902
433,313.18512069099023
434,313.18512069099035
435,313.18512069099035
436,313.1851206909903
437,313.18512069099035
438,313.18512069099035
439,313.1851206909903
440,313.18512069099035
441,313.18512069099035
442,313.1851206909903
443,313.1851206909903
444,313.1851206909903
445,313.1851206909903
446,313.1851206909903
447,313.1851206909902
448,313.1851206909902
449,313.1851206909903
450,313.18512069099023
451,313.18512069099023
452,313.18512069099023
453,313.1851206909903
454,313.1851206909903
455,313.18512069099023
456,313.18512069099023
457,313.18512069099035
458,313.18512069099035
459,313.18512069099035
460,313.1851206909903
461,313.1851206909903
462,313.1851206909903
463,313.1851206909903
464,313.18512069099023
465,313.1851206909902
466,313.1851206909903
467,313.1851206909903
468,313.1851206909903
469,313.18512069099023
470,313.18512069099023
471,313.18512069099023
472,313.1851206909902
473,313.18512069099023
474,313.1851206909902
475,313.1851206909902
476,313.1851206909902
477,313.18512069099006
478,313.1851206909902
479,313.1851206909902
480,313.1851206909902
481,313.1851206909903
482,313.1851206909902
483,313.1851206909903
484,313.18512069099023
485,313.1851206909902
486,313.1851206909902
487,313.1851206909902
488,313.18512069099006
489,313.1851206909901
490,313.1851206909901
491,313.1851206909901
492,313.1851206909902
493,313.18512069099006
494,313.18512069099006
495,313.1851206909902
496,313.1851206909902
497,313.1851206909902
498,313.1851206909902
499,313.1851206909902
500,313.1851206909902
501,313.1851206909902
502,313.1851206909902
503,313.1851206909902
504,313.1851206909902
505,263.53302487379403
506,263.53302487379403
507,263.53302487379403
508,263.53302487379403
509,263.53302487379403
510,357.77915622396074
511,357.7791562239607
512,357.7791562239607
513,357.7791562239607
514,357.7791562239606
515,357.7791562239606
516,357.7791562239606
517,357.7791562239607
