ATS (100 broadcast interval, tuning parameters = 0.1)
Tick,Average error
228,570.7468363953585
229,570.7468522115854
230,570.7468680278123
231,570.7468838440393
232,570.7468996602662
233,570.746915476493
234,570.7469312927201
235,570.7469471089469
236,570.746962925174
237,570.7469787414009
238,570.7469945576277
239,570.7470103738548
240,570.7470261900817
241,570.7470420063084
242,570.7470578225355
243,570.7470736387623
244,570.7470894549895
245,570.7471052712162
246,570.7471210874432
247,570.7471369036701
248,570.7471527198973
249,570.747168536124
250,570.7471843523509
251,570.7472001685776
252,570.7472159848048
253,570.7472318010318
254,570.7472476172587
255,570.7472634334855
256,570.7472792497124
257,570.7472950659394
258,570.7473108821664
259,570.7473266983932
260,570.7473425146201
261,570.7473583308471
262,570.7473741470741
263,570.747389963301
264,570.7474057795278
265,570.747421595755
266,570.7474374119819
267,570.7474532282089
268,570.7474690444357
269,570.7474848606627
270,570.7475006768894
271,570.7475164931164
272,570.7475323093432
273,570.7475481255703
274,570.7475639417972
275,570.7475797580241
276,570.747595574251
277,570.7476113904781
278,570.7476272067049
279,570.7476430229322
280,570.7476588391587
281,570.7476746553856
282,570.7476904716126
283,570.7477062878396
284,570.7477221040664
285,570.7477379202935
286,570.7477537365203
287,570.7477695527473
288,570.7477853689742
289,570.7478011852013
290,570.7478170014281
291,570.7478328176551
292,570.747848633882
293,570.7478644501089
294,570.7478802663359
295,570.7478960825625
296,570.7479118987897
297,570.7479277150169
298,570.7479435312435
299,570.7479593474704
300,570.7479751636974
301,570.7479909799241
302,570.7480067961513
303,570.7480226123782
304,570.748038428605
305,671.3638095097095
306,671.3638271629039
307,671.3638448160981
308,653.7646425647124
309,653.7646642873691
310,653.7646860100256
311,653.764707732682
312,653.7647294553386
313,653.7647511779952
314,653.7647729006517
315,653.7647946233081
316,653.7648163459648
317,653.7648380686214
318,653.7648597912779
319,653.7648815139345
320,653.7649032365911
321,653.7649249592477
322,653.764946681904
323,653.7649684045605
324,653.7649901272171
325,653.7650118498736
326,653.7650335725302
327,653.7650552951869
328,653.7650770178432
329,653.7650987404999
330,653.7651204631564
331,653.7651421858131
332,653.7651639084695
333,653.7651856311262
334,653.7652073537827
335,653.7652290764391
336,653.7652507990958
337,653.7652725217523
338,653.7652942444089
339,653.7653159670654
340,653.7653376897217
341,653.7653594123784
342,653.7653811350349
343,653.7654028576917
344,653.765424580348
345,653.7654463030045
346,653.7654680256614
347,653.7654897483178
348,653.7655114709745
349,653.7655331936309
350,653.7655549162873
351,653.7655766389439
352,653.7655983616006
353,653.765620084257
354,653.7656418069133
355,653.7656635295701
356,653.7656852522267
357,653.7657069748833
358,653.7657286975398
359,653.7657504201964
360,653.7657721428528
361,653.7657938655095
362,653.7658155881661
363,653.7658373108226
364,653.765859033479
365,653.7658807561355
366,653.765902478792
367,653.7659242014487
368,653.7659459241053
369,653.7659676467617
370,653.7659893694184
371,653.7660110920748
372,653.7660328147315
373,653.766054537388
374,653.7660762600448
375,653.7660979827011
376,653.7661197053576
377,653.7661414280141
378,653.7661631506706
379,653.7661848733272
380,653.7662065959837
381,653.7662283186403
382,653.7662500412969
383,653.7662717639536
384,653.7662934866099
385,653.7663152092664
386,653.766336931923
387,653.7663586545798
388,653.7663803772364
389,653.7664020998926
390,653.7664238225493
391,653.7664455452059
392,653.7664672678623
393,653.766488990519
394,653.7665107131754
395,653.766532435832
396,653.7665541584886
397,653.7665758811451
398,653.7665976038018
399,653.7666193264582
400,653.7666410491149
401,653.7666627717713
402,653.7666844944279
403,653.7667062170843
404,653.7667279397411
405,572.7686153643838
406,572.7686344266501
407,572.7686534889166
408,572.7686725511827
409,514.8890811298148
410,514.8890948009067
411,514.8891084719983
412,514.8891221430899
413,514.8891358141817
414,514.8891494852734
415,514.889163156365
416,514.8891768274567
417,514.8891904985483
418,514.8892041696403
419,514.8892178407317
420,514.8892315118235
421,514.8892451829151
422,514.8892588540069
423,514.8892725250985
424,514.8892861961903
425,514.8892998672821
426,514.8893135383739
427,514.8893272094655
428,514.8893408805573
429,514.8893545516488
430,514.8893682227405
431,514.8893818938321
432,514.8893955649239
433,514.8894092360156
434,514.8894229071072
435,514.8894365781988
436,514.8894502492906
437,514.8894639203822
438,514.8894775914739
439,514.8894912625657
440,514.8895049336575
441,514.889518604749
442,514.8895322758409
443,514.8895459469325
444,514.8895596180242
445,514.8895732891159
446,514.8895869602076
