MMTS (100 broadcast interval)
Tick,Average error
0,583.811516150486
1,583.8115202599087
2,583.8115243693314
3,583.8115284787541
4,583.8115325881769
5,583.8115366975995
6,583.8115408070222
7,583.8115449164449
8,583.8115490258679
9,583.8115531352904
10,583.8115572447132
11,583.8115613541358
12,583.8115654635586
13,583.8115695729814
14,583.811573682404
15,583.8115777918266
16,583.8115819012494
17,583.8115860106722
18,583.8115901200948
19,583.8115942295175
20,583.8115983389403
21,583.8116024483629
22,583.8116065577858
23,583.8116106672082
24,583.8116147766311
25,583.8116188860537
26,583.8116229954765
27,583.8116271048992
28,583.811631214322
29,583.8116353237447
30,583.8116394331674
31,583.8116435425902
32,583.8116476520128
33,583.8116517614355
34,583.8116558708584
35,583.811659980281
36,583.8116640897038
37,583.8116681991264
38,583.8116723085492
39,583.8116764179719
40,583.8116805273945
41,583.8116846368172
42,583.81168874624
43,583.8116928556627
44,583.8116969650853
45,583.8117010745082
46,583.8117051839307
47,583.8117092933535
48,583.8117134027763
49,583.811717512199
50,583.8117216216216
51,583.8117257310444
52,583.8117298404673
53,583.8117339498898
54,583.8117380593126
55,583.8117421687352
56,583.8117462781579
57,583.8117503875807
58,583.8117544970032
59,583.811758606426
60,583.8117627158488
61,583.8117668252714
62,583.8117709346942
63,583.811775044117
64,583.8117791535396
65,583.8117832629623
66,583.8117873723852
67,583.8117914818079
68,583.8117955912305
69,583.8117997006533
70,583.8118038100761
71,583.8118079194986
72,583.8118120289214
73,583.811816138344
74,583.8118202477668
75,583.8118243571895
76,583.8118284666123
77,583.811832576035
78,583.8118366854577
79,583.8118407948804
80,583.811844904303
81,583.8118490137259
82,583.8118531231485
83,583.8118572325712
84,583.8118613419938
85,583.8118654514168
86,583.8118695608392
87,583.8118736702621
88,583.8118777796847
89,583.8118818891074
90,583.8118859985301
91,583.8118901079529
92,583.8118942173757
93,583.8118983267982
94,583.8119024362211
95,583.8119065456438
96,583.8119106550664
97,583.8119147644891
98,583.811918873912
99,583.8119229833345
100,583.8119270927573
101,583.81193120218
102,583.8119353116028
103,583.8119394210255
104,583.811943530448
105,544.5231893711568
106,500.9724058533625
107,500.9723925735784
108,500.97237929379446
109,500.9723660140103
110,500.9723527342263
111,500.97233945444236
112,500.97232617465824
113,500.9723128948742
114,500.9722996150901
115,500.97228633530614
116,500.97227305552195
117,500.97225977573794
118,500.97224649595375
119,500.9722332161698
120,500.9722199363857
121,500.9722066566017
122,500.9721933768175
123,500.9721800970336
124,500.9721668172495
125,500.97215353746566
126,500.97214025768153
127,500.9721269778976
128,500.9721136981134
129,500.9721004183292
130,500.97208713854525
131,500.97207385876123
132,500.97206057897705
133,500.9720472991929
134,500.972034019409
135,500.97202073962484
136,500.97200745984105
137,500.97199418005687
138,500.97198090027297
139,500.9719676204888
140,500.9719543407046
141,500.9719410609207
142,500.9719277811366
143,500.9719145013525
144,500.9719012215683
145,500.9718879417843
146,500.9718746620003
147,500.97186138221616
148,500.9718481024323
149,500.9718348226483
150,500.97182154286406
151,500.97180826308016
152,500.97179498329615
153,500.971781703512
154,500.97176842372784
155,500.9717551439437
156,500.97174186415987
157,500.97172858437574
158,500.9717153045915
159,500.9717020248076
160,500.97168874502364
161,500.9716754652397
162,500.97166218545556
163,500.9716489056715
164,500.9716356258874
165,500.97162234610335
166,500.9716090663192
167,500.9715957865353
168,500.97158250675125
169,500.97156922696695
170,500.97155594718294
171,500.971542667399
172,500.97152938761485
173,500.9715161078309
174,500.97150282804694
175,500.9714895482629
176,500.9714762684788
177,500.9714629886948
178,500.97144970891065
179,500.9714364291265
180,500.97142314934246
181,500.97140986955833
182,500.97139658977443
183,500.97138330999024
184,500.9713700302062
185,500.9713567504223
186,500.97134347063815
187,500.9713301908542
188,500.9713169110702
189,500.97130363128616
190,500.971290351502
191,500.97127707171785
192,500.9712637919337
193,500.9712505121499
194,500.9712372323657
195,500.9712239525816
196,500.97121067279755
197,500.9711973930136
198,500.9711841132295
199,500.9711708334455
200,500.97115755366156
201,500.9711442738774
202,500.9711309940934
203,500.97111771430923
204,500.9711044345251
205,358.73826615465447
206,358.7382632010289
207,173.2485897225085
208,173.2485897225085
209,173.2485897225085
210,173.24858972250848
211,173.2485897225085
212,173.2485897225085
213,173.2485897225085
214,173.24858972250854
215,173.24858972250848
216,173.2485897225085
217,173.24858972250854
218,173.24858972250848
219,173.24858972250848
220,173.2485897225085
221,173.2485897225085
222,173.2485897225085
223,173.24858972250843
224,173.2485897225085
225,173.24858972250854
226,173.2485897225085
227,173.2485897225085
228,173.2485897225085
229,173.24858972250848
230,173.24858972250843
231,173.2485897225085
232,173.24858972250854
233,173.24858972250854
234,173.2485897225085
235,173.2485897225085
236,173.24858972250854
237,173.24858972250848
238,173.2485897225085
239,173.24858972250848
240,173.24858972250848
241,173.2485897225085
242,173.2485897225085
243,173.24858972250848
244,173.2485897225085
245,173.2485897225085
246,173.24858972250854
247,173.2485897225085
248,173.24858972250854
249,173.2485897225085
250,173.24858972250854
251,173.24858972250848
252,173.24858972250854
253,173.2485897225085
254,173.2485897225085
255,173.2485897225085
256,173.2485897225085
257,173.24858972250848
258,173.2485897225085
259,173.2485897225085
260,173.2485897225085
261,173.24858972250848
262,173.24858972250854
263,173.2485897225085
264,173.24858972250854
265,173.2485897225085
266,173.24858972250854
267,173.24858972250848
268,173.24858972250854
269,173.2485897225085
270,173.24858972250854
271,173.24858972250854
272,173.24858972250854
273,173.2485897225085
274,173.24858972250854
275,173.2485897225085
276,173.24858972250854
277,173.2485897225085
278,173.2485897225085
279,173.2485897225085
280,173.2485897225085
